Código CNAE;Ordem;Seção;ClasseCNAE;Descrição da Atividade;situacao
1113;1;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.11-3;Cultivo de cereais;0
1121;2;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0
1130;3;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.13-0;Cultivo de cana-de-açúcar;0
1148;4;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.14-8;Cultivo de fumo;0
1156;5;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.15-6;Cultivo de soja;0
1164;6;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;0
1199;7;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0
1211;8;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.21-1;Horticultura;0
1229;9;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.22-9;Cultivo de flores e plantas ornamentais;0
1318;10;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.31-8;Cultivo de laranja;0
1326;11;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.32-6;Cultivo de uva;0
1334;12;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.33-4;Cultivo de frutas de lavoura permanente, exceto laranja e uva;0
1342;13;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.34-2;Cultivo de café;0
1351;14;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.35-1;Cultivo de cacau;0
1393;15;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.39-3;Cultivo de plantas de lavoura permanente não especificadas anteriormente;0
1415;16;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.41-5;Produção de sementes certificadas;0
1423;17;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.42-3;Produção de mudas e outras formas de propagação vegetal, certificadas;1
1512;18;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.51-2;Criação de bovinos;0
1521;19;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.52-1;Criação de outros animais de grande porte;0
1539;20;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.53-9;Criação de caprinos e ovinos;0
1547;21;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.54-7;Criação de suínos;0
1555;22;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.55-5;Criação de aves;0
1598;23;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.59-8;Criação de animais não especificados anteriormente;0
1610;24;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.61-0;Atividades de apoio à agricultura;0
1628;25;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.62-8;Atividades de apoio à pecuária;0
1636;26;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.63-6;Atividades de pós-colheita;0
1709;27;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.70-9;Caça e serviços relacionados;0
2101;28;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;02.10-1;Produção florestal - florestas plantadas;1
2209;29;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;02.20-9;Produção florestal - florestas nativas;0
2306;30;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;02.30-6;Atividades de apoio à produção florestal;0
3116;31;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.11-6;Pesca em água salgada;0
3124;32;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.12-4;Pesca em água doce;0
3213;33;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.21-3;Aqüicultura em água salgada e salobra;0
3221;34;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.22-1;Aqüicultura em água doce;0
5003;35;Seção B - Indústrias extrativas;05.00-3;Extração de carvão mineral;0
6000;36;Seção B - Indústrias extrativas;06.00-0;Extração de petróleo e gás natural;0
7103;37;Seção B - Indústrias extrativas;07.10-3;Extração de minério de ferro;0
7219;38;Seção B - Indústrias extrativas;07.21-9;Extração de minério de alumínio;0
7227;39;Seção B - Indústrias extrativas;07.22-7;Extração de minério de estanho;0
7235;40;Seção B - Indústrias extrativas;07.23-5;Extração de minério de manganês;0
7243;41;Seção B - Indústrias extrativas;07.24-3;Extração de minério de metais preciosos;0
7251;42;Seção B - Indústrias extrativas;07.25-1;Extração de minerais radioativos;0
7294;43;Seção B - Indústrias extrativas;07.29-4;Extração de minerais metálicos não-ferrosos não especificados anteriormente;0
8100;44;Seção B - Indústrias extrativas;08.10-0;Extração de pedra, areia e argila;0
8916;45;Seção B - Indústrias extrativas;08.91-6;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;0
8924;46;Seção B - Indústrias extrativas;08.92-4;Extração e refino de sal marinho e sal-gema;0
8932;47;Seção B - Indústrias extrativas;08.93-2;Extração de gemas (pedras preciosas e semipreciosas);0
8991;48;Seção B - Indústrias extrativas;08.99-1;Extração de minerais não-metálicos não especificados anteriormente;0
9106;49;Seção B - Indústrias extrativas;09.10-6;Atividades de apoio à extração de petróleo e gás natural;0
9904;50;Seção B - Indústrias extrativas;09.90-4;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;0
10112;51;Seção C - Indústrias de transformação;10.11-2;Abate de reses, exceto suínos;0
10121;52;Seção C - Indústrias de transformação;10.12-1;Abate de suínos, aves e outros pequenos animais;0
10139;53;Seção C - Indústrias de transformação;10.13-9;Fabricação de produtos de carne;0
10201;54;Seção C - Indústrias de transformação;10.20-1;Preservação do pescado e fabricação de produtos do pescado;0
10317;55;Seção C - Indústrias de transformação;10.31-7;Fabricação de conservas de frutas;0
10325;56;Seção C - Indústrias de transformação;10.32-5;Fabricação de conservas de legumes e outros vegetais;0
10333;57;Seção C - Indústrias de transformação;10.33-3;Fabricação de sucos de frutas, hortaliças e legumes;0
10414;58;Seção C - Indústrias de transformação;10.41-4;Fabricação de óleos vegetais em bruto, exceto óleo de milho;0
10422;59;Seção C - Indústrias de transformação;10.42-2;Fabricação de óleos vegetais refinados, exceto óleo de milho;0
10431;60;Seção C - Indústrias de transformação;10.43-1;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;0
10511;61;Seção C - Indústrias de transformação;10.51-1;Preparação do leite;0
10520;62;Seção C - Indústrias de transformação;10.52-0;Fabricação de laticínios;0
10538;63;Seção C - Indústrias de transformação;10.53-8;Fabricação de sorvetes e outros gelados comestíveis;0
10619;64;Seção C - Indústrias de transformação;10.61-9;Beneficiamento de arroz e fabricação de produtos do arroz;0
10627;65;Seção C - Indústrias de transformação;10.62-7;Moagem de trigo e fabricação de derivados;0
10635;66;Seção C - Indústrias de transformação;10.63-5;Fabricação de farinha de mandioca e derivados;0
10643;67;Seção C - Indústrias de transformação;10.64-3;Fabricação de farinha de milho e derivados, exceto óleos de milho;0
10651;68;Seção C - Indústrias de transformação;10.65-1;Fabricação de amidos e féculas de vegetais e de óleos de milho;0
10660;69;Seção C - Indústrias de transformação;10.66-0;Fabricação de alimentos para animais;0
10694;70;Seção C - Indústrias de transformação;10.69-4;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;0
10716;71;Seção C - Indústrias de transformação;10.71-6;Fabricação de açúcar em bruto;0
10724;72;Seção C - Indústrias de transformação;10.72-4;Fabricação de açúcar refinado;0
10813;73;Seção C - Indústrias de transformação;10.81-3;Torrefação e moagem de café;0
10821;74;Seção C - Indústrias de transformação;10.82-1;Fabricação de produtos à base de café;0
10911;75;Seção C - Indústrias de transformação;10.91-1;Fabricação de produtos de panificação;0
10929;76;Seção C - Indústrias de transformação;10.92-9;Fabricação de biscoitos e bolachas;0
10937;77;Seção C - Indústrias de transformação;10.93-7;Fabricação de produtos derivados do cacau, de chocolates e confeitos;0
10945;78;Seção C - Indústrias de transformação;10.94-5;Fabricação de massas alimentícias;0
10953;79;Seção C - Indústrias de transformação;10.95-3;Fabricação de especiarias, molhos, temperos e condimentos;0
10961;80;Seção C - Indústrias de transformação;10.96-1;Fabricação de alimentos e pratos prontos;0
10996;81;Seção C - Indústrias de transformação;10.99-6;Fabricação de produtos alimentícios não especificados anteriormente;0
11119;82;Seção C - Indústrias de transformação;11.11-9;Fabricação de aguardentes e outras bebidas destiladas;0
11127;83;Seção C - Indústrias de transformação;11.12-7;Fabricação de vinho;0
11135;84;Seção C - Indústrias de transformação;11.13-5;Fabricação de malte, cervejas e chopes;0
11216;85;Seção C - Indústrias de transformação;11.21-6;Fabricação de águas envasadas;0
11224;86;Seção C - Indústrias de transformação;11.22-4;Fabricação de refrigerantes e de outras bebidas não-alcoólicas;0
12107;87;Seção C - Indústrias de transformação;12.10-7;Processamento industrial do fumo;0
12204;88;Seção C - Indústrias de transformação;12.20-4;Fabricação de produtos do fumo;0
13111;89;Seção C - Indústrias de transformação;13.11-1;Preparação e fiação de fibras de algodão;0
13120;90;Seção C - Indústrias de transformação;13.12-0;Preparação e fiação de fibras têxteis naturais, exceto algodão;0
13138;91;Seção C - Indústrias de transformação;13.13-8;Fiação de fibras artificiais e sintéticas;0
13146;92;Seção C - Indústrias de transformação;13.14-6;Fabricação de linhas para costurar e bordar;0
13219;93;Seção C - Indústrias de transformação;13.21-9;Tecelagem de fios de algodão;0
13227;94;Seção C - Indústrias de transformação;13.22-7;Tecelagem de fios de fibras têxteis naturais, exceto algodão;0
13235;95;Seção C - Indústrias de transformação;13.23-5;Tecelagem de fios de fibras artificiais e sintéticas;0
13308;96;Seção C - Indústrias de transformação;13.30-8;Fabricação de tecidos de malha;0
13405;97;Seção C - Indústrias de transformação;13.40-5;Acabamentos em fios, tecidos e artefatos têxteis;0
13511;98;Seção C - Indústrias de transformação;13.51-1;Fabricação de artefatos têxteis para uso doméstico;0
13529;99;Seção C - Indústrias de transformação;13.52-9;Fabricação de artefatos de tapeçaria;0
13537;100;Seção C - Indústrias de transformação;13.53-7;Fabricação de artefatos de cordoaria;0
13545;101;Seção C - Indústrias de transformação;13.54-5;Fabricação de tecidos especiais, inclusive artefatos;0
13596;102;Seção C - Indústrias de transformação;13.59-6;Fabricação de outros produtos têxteis não especificados anteriormente;0
14118;103;Seção C - Indústrias de transformação;14.11-8;Confecção de roupas íntimas;0
14126;104;Seção C - Indústrias de transformação;14.12-6;Confecção de peças do vestuário, exceto roupas íntimas;0
14134;105;Seção C - Indústrias de transformação;14.13-4;Confecção de roupas profissionais;0
14142;106;Seção C - Indústrias de transformação;14.14-2;Fabricação de acessórios do vestuário, exceto para segurança e proteção;0
14215;107;Seção C - Indústrias de transformação;14.21-5;Fabricação de meias;0
14223;108;Seção C - Indústrias de transformação;14.22-3;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;0
15106;109;Seção C - Indústrias de transformação;15.10-6;Curtimento e outras preparações de couro;0
15211;110;Seção C - Indústrias de transformação;15.21-1;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;0
15297;111;Seção C - Indústrias de transformação;15.29-7;Fabricação de artefatos de couro não especificados anteriormente;0
15319;112;Seção C - Indústrias de transformação;15.31-9;Fabricação de calçados de couro;0
15327;113;Seção C - Indústrias de transformação;15.32-7;Fabricação de tênis de qualquer material;0
15335;114;Seção C - Indústrias de transformação;15.33-5;Fabricação de calçados de material sintético;0
15394;115;Seção C - Indústrias de transformação;15.39-4;Fabricação de calçados de materiais não especificados anteriormente;0
15408;116;Seção C - Indústrias de transformação;15.40-8;Fabricação de partes para calçados, de qualquer material;0
16102;117;Seção C - Indústrias de transformação;16.10-2;Desdobramento de madeira;0
16218;118;Seção C - Indústrias de transformação;16.21-8;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;0
16226;119;Seção C - Indústrias de transformação;16.22-6;Fabricação de estruturas de madeira e de artigos de carpintaria para construção;0
16234;120;Seção C - Indústrias de transformação;16.23-4;Fabricação de artefatos de tanoaria e de embalagens de madeira;0
16293;121;Seção C - Indústrias de transformação;16.29-3;Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis;0
17109;122;Seção C - Indústrias de transformação;17.10-9;Fabricação de celulose e outras pastas para a fabricação de papel;0
17214;123;Seção C - Indústrias de transformação;17.21-4;Fabricação de papel;0
17222;124;Seção C - Indústrias de transformação;17.22-2;Fabricação de cartolina e papel-cartão;0
17311;125;Seção C - Indústrias de transformação;17.31-1;Fabricação de embalagens de papel;0
17320;126;Seção C - Indústrias de transformação;17.32-0;Fabricação de embalagens de cartolina e papel-cartão;0
17338;127;Seção C - Indústrias de transformação;17.33-8;Fabricação de chapas e de embalagens de papelão ondulado;0
17419;128;Seção C - Indústrias de transformação;17.41-9;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;0
17427;129;Seção C - Indústrias de transformação;17.42-7;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário;0
17494;130;Seção C - Indústrias de transformação;17.49-4;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;0
18113;131;Seção C - Indústrias de transformação;18.11-3;Impressão de jornais, livros, revistas e outras publicações periódicas;0
18121;132;Seção C - Indústrias de transformação;18.12-1;Impressão de material de segurança;0
18130;133;Seção C - Indústrias de transformação;18.13-0;Impressão de materiais para outros usos;0
18211;134;Seção C - Indústrias de transformação;18.21-1;Serviços de pré-impressão;0
18229;135;Seção C - Indústrias de transformação;18.22-9;Serviços de acabamentos gráficos;0
18300;136;Seção C - Indústrias de transformação;18.30-0;Reprodução de materiais gravados em qualquer suporte;0
19101;137;Seção C - Indústrias de transformação;19.10-1;Coquerias;0
19217;138;Seção C - Indústrias de transformação;19.21-7;Fabricação de produtos do refino de petróleo;0
19225;139;Seção C - Indústrias de transformação;19.22-5;Fabricação de produtos derivados do petróleo, exceto produtos do refino;0
19314;140;Seção C - Indústrias de transformação;19.31-4;Fabricação de álcool;0
19322;141;Seção C - Indústrias de transformação;19.32-2;Fabricação de biocombustíveis, exceto álcool;0
20118;142;Seção C - Indústrias de transformação;20.11-8;Fabricação de cloro e álcalis;0
20126;143;Seção C - Indústrias de transformação;20.12-6;Fabricação de intermediários para fertilizantes;0
20134;144;Seção C - Indústrias de transformação;20.13-4;Fabricação de adubos e fertilizantes;0
20142;145;Seção C - Indústrias de transformação;20.14-2;Fabricação de gases industriais;0
20193;146;Seção C - Indústrias de transformação;20.19-3;Fabricação de produtos químicos inorgânicos não especificados anteriormente;0
20215;147;Seção C - Indústrias de transformação;20.21-5;Fabricação de produtos petroquímicos básicos;0
20223;148;Seção C - Indústrias de transformação;20.22-3;Fabricação de intermediários para plastificantes, resinas e fibras;0
20291;149;Seção C - Indústrias de transformação;20.29-1;Fabricação de produtos químicos orgânicos não especificados anteriormente;0
20312;150;Seção C - Indústrias de transformação;20.31-2;Fabricação de resinas termoplásticas;0
20321;151;Seção C - Indústrias de transformação;20.32-1;Fabricação de resinas termofixas;0
20339;152;Seção C - Indústrias de transformação;20.33-9;Fabricação de elastômeros;0
20401;153;Seção C - Indústrias de transformação;20.40-1;Fabricação de fibras artificiais e sintéticas;0
20517;154;Seção C - Indústrias de transformação;20.51-7;Fabricação de defensivos agrícolas;0
20525;155;Seção C - Indústrias de transformação;20.52-5;Fabricação de desinfestantes domissanitários;0
20614;156;Seção C - Indústrias de transformação;20.61-4;Fabricação de sabões e detergentes sintéticos;0
20622;157;Seção C - Indústrias de transformação;20.62-2;Fabricação de produtos de limpeza e polimento;0
20631;158;Seção C - Indústrias de transformação;20.63-1;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;0
20711;159;Seção C - Indústrias de transformação;20.71-1;Fabricação de tintas, vernizes, esmaltes e lacas;0
20720;160;Seção C - Indústrias de transformação;20.72-0;Fabricação de tintas de impressão;0
20738;161;Seção C - Indústrias de transformação;20.73-8;Fabricação de impermeabilizantes, solventes e produtos afins;0
20916;162;Seção C - Indústrias de transformação;20.91-6;Fabricação de adesivos e selantes;0
20924;163;Seção C - Indústrias de transformação;20.92-4;Fabricação de explosivos;0
20932;164;Seção C - Indústrias de transformação;20.93-2;Fabricação de aditivos de uso industrial;0
20941;165;Seção C - Indústrias de transformação;20.94-1;Fabricação de catalisadores;0
20991;166;Seção C - Indústrias de transformação;20.99-1;Fabricação de produtos químicos não especificados anteriormente;0
21106;167;Seção C - Indústrias de transformação;21.10-6;Fabricação de produtos farmoquímicos;0
21211;168;Seção C - Indústrias de transformação;21.21-1;Fabricação de medicamentos para uso humano;0
21220;169;Seção C - Indústrias de transformação;21.22-0;Fabricação de medicamentos para uso veterinário;0
21238;170;Seção C - Indústrias de transformação;21.23-8;Fabricação de preparações farmacêuticas;0
22111;171;Seção C - Indústrias de transformação;22.11-1;Fabricação de pneumáticos e de câmaras-de-ar;0
22129;172;Seção C - Indústrias de transformação;22.12-9;Reforma de pneumáticos usados;0
22196;173;Seção C - Indústrias de transformação;22.19-6;Fabricação de artefatos de borracha não especificados anteriormente;0
22218;174;Seção C - Indústrias de transformação;22.21-8;Fabricação de laminados planos e tubulares de material plástico;0
22226;175;Seção C - Indústrias de transformação;22.22-6;Fabricação de embalagens de material plástico;0
22234;176;Seção C - Indústrias de transformação;22.23-4;Fabricação de tubos e acessórios de material plástico para uso na construção;0
22293;177;Seção C - Indústrias de transformação;22.29-3;Fabricação de artefatos de material plástico não especificados anteriormente;0
23117;178;Seção C - Indústrias de transformação;23.11-7;Fabricação de vidro plano e de segurança;0
23125;179;Seção C - Indústrias de transformação;23.12-5;Fabricação de embalagens de vidro;0
23192;180;Seção C - Indústrias de transformação;23.19-2;Fabricação de artigos de vidro;0
23206;181;Seção C - Indústrias de transformação;23.20-6;Fabricação de cimento;0
23303;182;Seção C - Indústrias de transformação;23.30-3;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;0
23419;183;Seção C - Indústrias de transformação;23.41-9;Fabricação de produtos cerâmicos refratários;0
23427;184;Seção C - Indústrias de transformação;23.42-7;Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção;0
23494;185;Seção C - Indústrias de transformação;23.49-4;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;0
23915;186;Seção C - Indústrias de transformação;23.91-5;Aparelhamento e outros trabalhos em pedras;0
23923;187;Seção C - Indústrias de transformação;23.92-3;Fabricação de cal e gesso;0
23991;188;Seção C - Indústrias de transformação;23.99-1;Fabricação de produtos de minerais não-metálicos não especificados anteriormente;0
24113;189;Seção C - Indústrias de transformação;24.11-3;Produção de ferro-gusa;0
24121;190;Seção C - Indústrias de transformação;24.12-1;Produção de ferroligas;0
